0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-601.4195,91.89129,-17.60102,29.824306,1.4409264,4.51562,-4.776874,3.0159032,-6.873446,1.7746881,-1.5521749,-1.424368,2.1188583,-3.81789,4.142232,-2.2545166,2.3398738,-4.9553742,2.492742,0.16207251,-2.8844218,0.5236703,-2.0715673,1.3240628,-2.469699,2.4903686,-1.1746272,2.966889,0.7414776,0.3215915,2.2626498,-1.4408466,1.5260166,-1.6232955,0.7442114,-0.34866387,0.940344,0.17304488,-0.5740036,-1.5818174,4
-605.62317,104.53564,-17.2407,38.52622,-9.353216,17.233162,-10.962155,2.0832798,-4.3809037,-1.3537037,-1.1549639,1.0426191,-0.98160297,-5.55924,5.729049,-6.9856896,2.230067,-5.3813224,4.857229,-3.587599,-1.1755263,1.811271,-6.6810107,2.4162009,-5.693455,1.3723793,-4.65127,1.3292084,-0.82036895,-1.6836519,1.4069736,-2.1495807,2.3849792,-4.1405225,1.0973076,-0.7354627,0.6386938,-0.26750025,-1.0186154,-0.6331427,2
-643.326,94.5353,-15.900214,32.824802,3.8092225,9.430597,-0.92334074,3.5979145,-6.0301576,5.9535923,1.0816435,4.999996,4.636746,-2.5167413,5.7863917,-4.0845346,3.7606766,-4.26244,3.6019044,0.28177488,-1.371683,1.6950382,-1.6382805,1.6911724,-2.7512484,3.0655599,-2.8964686,2.9411166,0.22308777,0.5764092,2.8859246,-1.4387412,2.7490127,-1.1463915,1.5410482,0.11298454,1.4081308,-0.29457438,-0.42896125,-1.2105628,4
-624.2343,99.55269,-11.824022,30.28402,-2.7921538,11.121933,-8.171331,5.3902636,-7.371242,-3.5262315,-1.3379385,1.288912,0.8818426,-4.150988,6.9210873,-5.8221893,3.2511554,-2.4547312,2.9786954,-0.9480003,-2.5454683,1.5349478,-4.1505165,1.7517235,-3.4901352,0.96160907,-3.4107306,0.47546503,-0.2613438,-0.6691036,2.2540557,-1.6857488,1.1794063,-2.884153,0.40958068,0.8592989,1.7016875,0.3082546,-1.8103042,-2.151146,2
-549.54266,106.99622,-23.971502,28.021616,-2.8132305,8.239107,-16.29555,-1.3400676,-12.077133,-0.38619292,-3.015348,-7.052693,2.731194,-8.035598,4.545012,-5.2187443,-1.4977311,-6.56689,-2.9181054,-4.051651,-4.951076,0.7904964,-5.526497,-0.08207063,-4.2618275,-0.96497595,-1.1561054,0.06555742,-1.2678897,0.3142696,1.2227436,-1.1518075,1.7466382,-2.7287874,1.9481274,1.2031206,0.54008275,1.1363115,0.78538316,1.4229835,7
-488.97232,69.50972,-28.262781,23.970177,-10.128489,2.3765419,-8.384322,4.7442193,-13.13836,3.6113915,-4.236795,-4.0210886,4.5061355,-7.9209747,6.01689,-6.9434924,-1.5624977,-5.0221214,-0.7732251,-3.6676648,-4.094515,-0.22042064,-5.348657,-2.008315,-4.5654354,0.44706333,-2.9638405,2.5273356,1.070064,2.0289564,2.1706111,-0.26686865,2.5557842,0.83976203,5.4729185,2.824789,3.8638387,2.7995775,3.1579146,2.0101779,5
-619.8125,100.98995,-13.43958,26.886032,1.8484976,9.37235,-4.8215513,4.2923336,-6.1423593,-1.7073,0.044142056,0.8720241,3.1264749,-1.6082916,5.0701156,-3.0517716,1.5329012,-3.6147275,3.3456285,-1.1635274,-2.5780718,1.0214425,-4.5551386,-0.17705214,-4.570016,0.5480773,-2.7528727,0.28532147,0.050065055,-0.6820087,1.1860092,-1.9344224,1.8545461,-1.9729756,0.8004993,-0.21329144,0.16734606,0.5246554,-0.5879767,0.57575387,1
-533.8072,93.07746,-23.67069,33.690693,2.6126194,6.789316,-12.11194,0.8319239,-12.910399,0.29533988,-3.0517054,-3.0296822,1.8679929,-4.451146,4.530369,-5.9873004,0.16574045,-8.873096,1.9831578,-2.287323,-4.291709,0.22781011,-4.1637974,1.025064,-4.930626,1.7967349,-1.5304422,1.4698806,-1.0480574,0.27287245,1.4904767,-1.3460814,2.0512793,-1.8106323,1.8915352,-0.32880193,1.7816114,0.48390898,-0.29160085,0.45373434,8
-520.02466,95.80878,-30.211567,31.79238,-2.2025015,6.0665693,-7.185922,7.7525487,-10.532634,0.9354053,-3.0146706,-1.4035981,3.7138288,-5.9956713,8.528646,-6.4979506,0.97797734,-4.137902,0.16984218,-2.4955835,-2.6566026,3.1758525,-5.3090715,0.8454945,-2.2749693,1.222302,-0.40203428,1.5570813,-0.2797807,1.1019437,1.409579,-0.7636759,2.2222354,-0.41626504,3.3443584,0.97753155,1.9792325,1.5921718,2.1306214,0.7484992,5
-522.89655,85.289276,-36.771324,35.356266,-16.056253,13.39955,-24.214191,-4.748006,-14.257633,2.2765322,-4.9848475,-9.119785,0.510709,-9.2705,6.454569,-7.835904,3.1127138,-5.5716934,0.69280577,-5.7842298,-4.732355,0.8296637,-5.138497,2.0424078,-6.4454455,0.18448196,-3.1863873,2.1398778,-2.720235,2.0881665,4.8092847,1.5799872,4.974093,-1.5576321,4.522155,0.9745709,4.851577,3.0467885,3.6023848,3.778756,6
-632.75916,98.25152,-13.587614,31.308302,-3.0946965,10.428474,-6.7671275,2.4101028,-3.6529438,-1.4934756,0.36495897,1.5435606,-0.7681434,-2.821582,5.885065,-4.3969455,2.0231888,-4.3361793,4.1542377,-0.83930194,-1.9534544,1.8567786,-4.4424148,1.7951329,-4.004649,-0.7064965,-4.046406,0.28129244,-1.7784511,-0.7583566,1.6246825,-2.698285,1.6143959,-3.4245653,1.1806602,0.609427,2.3679163,1.8240552,-1.1658349,-0.19549477,2
-499.09717,104.31639,-25.67099,29.324501,-1.4402119,7.4120483,-14.143322,-1.2532663,-15.237179,-0.41806495,-5.243785,-7.0602283,0.35068318,-8.871394,7.4193892,-6.4916825,-2.1236145,-4.6545496,-0.6924339,-4.1320333,-7.3970795,0.34637147,-4.243583,-2.760639,-3.2157433,-2.1224046,-3.9269943,3.1008108,0.44867203,2.9596965,3.433563,2.3717923,3.67909,-1.1239706,0.9127197,-1.5002239,0.9395991,-1.7143353,0.1370068,0.08442585,7
-598.1424,104.13952,-19.332655,30.798817,2.388596,8.826545,-6.4555163,0.90571135,-8.477221,2.2958128,-1.5760168,-4.2228603,0.3058511,-4.21437,1.882138,-3.7746184,2.8260915,-6.4989543,2.8012404,-1.0252162,-4.314748,-0.166715,-1.7484486,4.244251,-0.017800285,4.5158563,-0.7864899,3.1476004,0.26908386,-0.1418203,3.3126132,0.007061401,2.803214,-1.2918364,-0.13259801,-1.7652518,-0.048359167,-1.5265844,-2.3147204,-1.9552855,4
-465.61984,87.611275,-30.844595,29.638834,1.0478065,2.1017308,-10.171381,3.5967782,-13.104365,1.8408506,-0.5833527,-1.7149466,2.242662,-5.449017,6.052302,-4.820312,1.5199071,-7.3885818,0.97524285,-1.0205668,-4.4460735,2.3747196,-3.9152062,-1.3344779,-4.539289,-0.28383848,-3.5386271,-0.4593506,-2.9683838,-1.0407236,0.73311293,-1.3064669,3.3323321,-0.66312397,3.443483,2.845952,2.8013792,2.473888,2.5554118,1.5167278,3
-581.2687,93.018906,-22.751656,31.82316,4.586232,12.146085,-7.957417,3.91442,-5.423886,4.8997335,-0.24057043,-2.2545025,4.046714,-1.8676422,8.766214,-0.17011824,4.7642965,-3.615613,2.6702037,1.0049174,-3.5780642,0.55477506,-0.91584474,1.2074093,-2.4162261,1.9032799,-2.4024243,1.9172193,0.278553,1.790654,2.2543998,0.40032062,1.4202498,-2.5216765,2.2204096,-0.39643896,1.5585936,-0.19243772,0.34649032,0.31276986,4
-635.4332,94.79361,-13.809928,29.076733,0.8828068,5.419018,-2.1172326,4.9990582,-5.78684,-0.4257164,0.70703626,-0.24917638,2.2825983,-0.870003,4.6139717,-2.366535,2.7234175,-3.6395774,3.588179,0.31293154,-2.5612059,2.2984073,-2.8476684,1.1459512,-3.19071,0.67181826,-1.6725954,0.44132712,0.26733962,0.19731522,2.7964296,-1.4841808,1.7365278,-0.9024565,0.39656463,-0.30286118,-0.0015183171,0.2821196,-1.2724257,-0.76661325,1
-573.4666,81.22112,-28.022942,27.140915,1.3240356,4.2302456,-8.081679,1.1342942,-10.109972,3.0893097,-4.2641387,-5.131047,2.194729,-5.863662,4.971214,-2.339556,0.9434332,-7.067212,0.37524763,-0.94314003,-5.3700323,-1.2359692,-2.3629093,0.3307503,-3.4458654,1.2752932,-2.539547,1.3561835,-0.2668386,-0.14588492,1.2600344,-0.19317773,0.67142904,-2.6230993,1.1788971,-1.029334,1.1326842,-1.554255,-1.6659008,-0.49872872,4
-591.9997,97.22674,-13.07489,26.498436,0.16815297,7.52244,-7.7664266,-4.0181947,-10.116262,2.168727,-2.4736736,-2.8682027,2.2947085,-5.863531,2.3015559,-4.920339,-0.51007056,-6.174831,1.8174219,-0.2262836,-5.237577,0.80499345,-3.3297288,-0.34585768,-2.2615314,1.2735318,-0.39373726,3.1817985,2.8088021,3.6157804,5.251038,1.949447,4.316744,0.88186073,2.2627606,1.4222832,1.6239704,0.81441677,-0.3841204,-0.9092581,8
-579.9968,89.960655,-21.343784,26.292048,5.5814714,5.687914,-8.6466875,3.734169,-8.997417,-0.62245804,0.0643736,0.19954483,1.9512088,-2.170196,5.631529,-2.7714658,3.9374394,-2.9819617,2.3411233,-0.9593603,-2.4147227,0.3517589,-2.7660458,1.3957413,-3.7119842,1.3357326,-1.4962834,0.58520174,-0.63932395,0.50285065,1.8612893,-0.96103925,1.113074,-1.7091724,0.31703025,-0.33706644,0.70561653,-0.336581,0.84385985,-0.38283107,3
-552.59485,110.217735,-26.609015,28.489494,5.8740797,2.8442905,-5.9981785,0.816654,-7.8924212,1.1395683,1.10995,-1.0293518,0.53874826,-0.67675406,3.7948604,-2.5643988,2.9334855,-6.302629,2.2556703,-1.6534264,-3.9564002,0.8320967,-3.9068475,0.8580528,-3.0939655,0.6377692,-0.93368876,2.2089214,-1.4613001,-0.11886588,2.667268,-1.2800891,1.8295866,-2.7124152,0.7528123,-0.12860695,-0.34439626,-0.08128109,0.093452215,0.67371213,8
-583.80963,92.0995,-20.798096,25.140522,8.256269,5.005383,-7.2000327,0.3836243,-6.6668324,-1.5312619,0.7802143,0.26061833,0.45055187,-1.7906171,2.2481406,-3.2765832,0.55483586,-3.9931614,1.7353568,-2.9713671,-3.1895955,-1.4204419,-3.7634528,0.30089736,-4.5090737,0.5976687,-1.7239969,0.24284111,-0.34357756,1.4076021,3.737145,1.1182657,3.3445573,-0.60217917,0.8740294,0.8273888,0.9938532,-0.51491827,-0.017183928,-1.1324093,3
-473.81918,66.55368,-30.039469,24.209793,-4.1047554,4.557265,-11.330522,-0.622696,-13.064218,3.8071299,-3.1501186,-3.0513844,4.9339213,-7.519827,5.552499,-4.709118,-1.6794411,-4.4068694,1.2168956,-2.609483,-4.290854,0.31581286,-2.5153775,-2.4043257,-5.007302,0.041042265,-4.4963117,-0.0397181,-4.6566353,-0.57842,0.007589047,-2.0524602,4.120207,1.7901897,8.332695,7.8378005,11.3142,9.784564,9.069061,5.7016096,6
-579.3044,89.63473,-18.059984,24.778847,4.606007,2.0573883,-2.2701013,2.4685612,-7.8894935,0.79587275,0.9835009,1.2280254,1.9181292,-2.8130174,3.6115208,-1.6174706,2.178615,-5.3027444,3.8604825,1.8103065,-3.7731082,1.6865697,-1.9609027,1.4369152,-1.9889549,1.1153023,-1.9482069,-0.67331004,0.014101819,-0.40855247,0.6669427,-1.7200342,2.1303215,-0.9775371,0.38205,-0.116384074,0.425146,0.2926735,-1.0146673,-0.69660026,3
